dataset,method,frames,n,psnr,ssim,lpips
RT-1,FitVid,32,128,18.71,0.5916,0.475
BridgeV2,FitVid,32,128,17.09,0.6072,0.5235
RoboCasa,FitVid,32,128,13.5,0.5422,0.5655
RT-1,iVideoGPT,32,128,15.96,0.5571,0.3833
BridgeV2,iVideoGPT,32,128,20.06,0.7791,0.1899
RoboCasa,iVideoGPT,32,128,16.67,0.7187,0.2366
RT-1,IRASim,32,128,16.83,0.5936,0.3474
BridgeV2,IRASim,32,128,17.39,0.7094,0.2524
RoboCasa,IRASim,32,128,13.55,0.5834,0.3706
RT-1,Vid2World,32,128,19.03,0.721,0.196
BridgeV2,Vid2World,32,128,18.92,0.711,0.188
RoboCasa,Vid2World,32,128,15.4,0.7,0.2287
RT-1,Ctrl-World,32,128,19.11,0.711,0.2522
BridgeV2,Ctrl-World,32,128,18.38,0.6932,0.2621
RoboCasa,Ctrl-World,32,128,15.55,0.7035,0.2686
RT-1,DriftWorld,32,128,20.54,0.741,0.2595
BridgeV2,DriftWorld,32,128,20.32,0.7429,0.2379
RoboCasa,DriftWorld,32,128,16.5,0.72,0.2891
RT-1,WEAVER,32,128,19.74,0.7617,0.2321
BridgeV2,WEAVER,32,128,18.74,0.7447,0.2476
RoboCasa,WEAVER,32,128,14.62,0.7136,0.2726
RT-1,RLVR-World,32,128,19.47,0.736,0.182
BridgeV2,RLVR-World,32,128,19.06,0.721,0.178
RoboCasa,RLVR-World,32,128,15.8,0.71,0.2017
RT-1,PersistWorld,32,128,18.77,0.6995,0.2717
BridgeV2,PersistWorld,32,128,19.07,0.7154,0.2408
RoboCasa,PersistWorld,32,128,15.61,0.7112,0.2639
RT-1,Wan2.2-TI2V-5B,32,128,18.42,0.7058,0.2478
BridgeV2,Wan2.2-TI2V-5B,32,128,16.35,0.6889,0.2568
RoboCasa,Wan2.2-TI2V-5B,32,128,14.37,0.6906,0.2711
RT-1,Cosmos-Predict2.5-2B,32,128,17.77,0.6765,0.2889
BridgeV2,Cosmos-Predict2.5-2B,32,128,18.98,0.7799,0.187
RoboCasa,Cosmos-Predict2.5-2B,32,128,14.3,0.6802,0.2916
RT-1,DreamDojo-2B,32,128,18.47,0.7152,0.266
BridgeV2,DreamDojo-2B,32,128,16.95,0.7461,0.2563
RoboCasa,DreamDojo-2B,32,128,13.92,0.6349,0.3278
RT-1,FutureWorlds,32,128,22.47,0.8026,0.1551
BridgeV2,FutureWorlds,32,128,22.03,0.7968,0.1409
RoboCasa,FutureWorlds,32,128,18.47,0.7659,0.1833
